"Rec No","Daily Record Id","Sup Id","Date","No Of Days Covered","Serial No","Product1","Product2","Product3","Product4","Product5","Fuel Sales Qty1","Fuel Sales Qty2","Fuel Sales Qty3","Fuel Sales Qty4","Fuel Sales Qty5"
       24876,           39,            0," 5/20/2020",   1,      39,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,687.57",          0.00,        703.76,        260.34,          0.00
       24877,           40,            0," 5/20/2020",   1,      40,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,301.95",          0.00,         90.04,         52.76,          0.00
       24878,           41,            0," 5/21/2020",   1,      41,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,436.23",          0.00,"      1,214.46",        287.35,          0.00
       24879,           42,            0," 5/21/2020",   1,      42,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,323.21",          0.00,        250.25,        138.45,          0.00
       24880,           43,            0," 5/22/2020",   1,      43,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,223.83",          0.00,        719.99,        206.77,          0.00
       24881,           44,            0," 5/22/2020",   1,      44,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,273.24",          0.00,        411.19,         71.28,          0.00
       24882,           45,            0," 5/23/2020",   1,      45,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,370.15",          0.00,        468.28,        247.46,          0.00
       24883,           46,            0," 5/23/2020",   1,      46,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        977.66,          0.00,        122.38,         43.99,          0.00
       24884,           47,            0," 5/24/2020",   1,      47,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,761.66",          0.00,        480.00,        109.73,          0.00
       24885,           48,            0," 5/24/2020",   1,      48,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        792.75,          0.00,        289.31,         46.56,          0.00
       24886,           49,            0," 5/25/2020",   1,      49,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,594.55",          0.00,        567.65,        148.25,          0.00
       24887,           50,            0," 5/25/2020",   1,      50,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        758.94,          0.00,        193.29,         39.60,          0.00
       24888,           51,            0," 5/26/2020",   1,      51,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,829.61",          0.00,        814.34,        179.59,          0.00
       24889,           52,            0," 5/26/2020",   1,      52,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        962.19,          0.00,        261.11,         50.27,          0.00
       24890,           53,            0," 5/27/2020",   1,      53,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,603.89",          0.00,        731.15,        154.11,          0.00
       24891,           54,            0," 5/27/2020",   1,      54,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,205.25",          0.00,        371.49,        106.46,          0.00
       24892,           55,            0," 5/28/2020",   1,      55,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,012.45",          0.00,"      1,014.48",        201.98,          0.00
       24893,           56,            0," 5/28/2020",   1,      56,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,255.85",          0.00,        263.10,         70.50,          0.00
       24894,           57,            0," 5/29/2020",   1,      57,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,371.72",          0.00,        400.83,         90.56,          0.00
       24895,           58,            0," 5/29/2020",   1,      58,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,253.03",          0.00,        248.73,        170.64,          0.00
       24896,           59,            0," 5/30/2020",   1,      59,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,447.33",          0.00,        785.23,        186.32,          0.00
       24897,           60,            0," 5/30/2020",   1,      60,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,201.17",          0.00,        216.12,         89.23,          0.00
       24898,           61,            0," 5/31/2020",   1,      61,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,073.24",          0.00,"      1,030.98",        129.63,          0.00
       24899,           62,            0," 5/31/2020",   1,      62,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,005.17",          0.00,        265.95,         60.61,          0.00
       24900,           63,            0," 6/01/2020",   1,      63,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,676.41",          0.00,        381.90,        134.86,          0.00
       24901,           64,            0," 6/01/2020",   1,      64,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        958.77,          0.00,        254.01,         54.60,          0.00
       24902,           65,            0," 6/02/2020",   1,      65,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,002.26",          0.00,        864.15,        148.73,          0.00
       24903,           66,            0," 6/02/2020",   1,      66,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,233.04",          0.00,        144.15,         66.10,          0.00
       24904,           67,            0," 6/03/2020",   1,      67,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,809.68",          0.00,        865.17,        179.40,          0.00
       24905,           68,            0," 6/03/2020",   1,      68,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,310.55",          0.00,        123.63,         97.31,          0.00
       24906,           69,            0," 6/04/2020",   1,      69,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,791.15",          0.00,"      2,150.23",        237.39,          0.00
       24907,           70,            0," 6/04/2020",   1,      70,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,238.08",          0.00,        315.56,        123.78,          0.00
       24908,           71,            0," 6/05/2020",   1,      71,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,193.42",          0.00,        541.39,        245.48,          0.00
       24909,           72,            0," 6/05/2020",   1,      72,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,216.35",          0.00,        263.71,         85.41,          0.00
       24910,           73,            0," 6/06/2020",   1,      73,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,449.87",          0.00,        428.59,        287.29,          0.00
       24911,           74,            0," 6/06/2020",   1,      74,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,010.29",          0.00,         96.80,         71.57,          0.00
       24912,           75,            0," 6/07/2020",   1,      75,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,966.93",          0.00,        523.39,        208.59,          0.00
       24913,           76,            0," 6/07/2020",   1,      76,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        970.48,          0.00,        270.39,         66.11,          0.00
       24914,           77,            0," 6/08/2020",   1,      77,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,267.22",          0.00,        687.20,        191.86,          0.00
       24915,           78,            0," 6/08/2020",   1,      78,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,707.93",          0.00,        226.32,        181.12,          0.00
       24916,           79,            0," 6/09/2020",   1,      79,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,732.03",          0.00,        437.23,        283.04,          0.00
       24917,           80,            0," 6/09/2020",   1,      80,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,172.33",          0.00,        160.30,         48.06,          0.00
       24918,           81,            0," 6/10/2020",   1,      81,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,638.25",          0.00,        561.74,        257.25,          0.00
       24919,           82,            0," 6/10/2020",   1,      82,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,506.69",          0.00,        132.18,        164.34,          0.00
       24920,           83,            0," 6/11/2020",   1,      83,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,899.13",          0.00,"      1,798.93",         47.63,          0.00
       24921,           84,            0," 6/11/2020",   1,      84,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,782.80",          0.00,        261.64,         74.60,          0.00
       24922,           85,            0," 6/12/2020",   1,      85,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,117.49",          0.00,        565.82,        182.46,          0.00
       24923,           86,            0," 6/12/2020",   1,      86,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,340.19",          0.00,        194.77,         69.12,          0.00
       24924,           87,            0," 6/13/2020",   1,      87,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,636.31",          0.00,        209.36,        173.07,          0.00
       24925,           88,            0," 6/13/2020",   1,      88,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,125.04",          0.00,         88.77,        100.78,          0.00
       24926,           89,            0," 6/14/2020",   1,      89,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,977.87",          0.00,        374.64,        101.38,          0.00
       24927,           90,            0," 6/14/2020",   1,      90,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,180.78",          0.00,        210.46,         16.93,          0.00
       24928,           91,            0," 6/15/2020",   1,      91,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,103.35",          0.00,        611.11,        100.53,          0.00
       24929,           92,            0," 6/15/2020",   1,      92,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,169.06",          0.00,        273.16,         29.84,          0.00
       24930,           93,            0," 6/16/2020",   1,      93,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,164.25",          0.00,"      1,056.52",        118.50,          0.00
       24931,           94,            0," 6/16/2020",   1,      94,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,365.35",          0.00,        406.06,        102.35,          0.00
       24932,           95,            0," 6/17/2020",   1,      95,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,698.01",          0.00,"      1,102.06",        229.80,          0.00
       24933,           96,            0," 6/17/2020",   1,      96,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,091.61",          0.00,        160.56,         86.70,          0.00
       24934,           97,            0," 6/18/2020",   1,      97,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,065.85",          0.00,"      1,165.05",         49.29,          0.00
       24935,           98,            0," 6/18/2020",   1,      98,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,409.71",          0.00,        386.53,         27.65,          0.00
       24936,           99,            0," 6/19/2020",   1,      99,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,044.45",          0.00,"      1,814.92",        151.54,          0.00
       24937,          100,            0," 6/19/2020",   1,     100,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,511.71",          0.00,        462.75,         41.66,          0.00
       24938,          101,            0," 6/20/2020",   1,     101,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,633.27",          0.00,        823.03,        210.71,          0.00
       24939,          102,            0," 6/20/2020",   1,     102,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,218.02",          0.00,        271.78,         40.75,          0.00
       24940,          103,            0," 6/21/2020",   1,     103,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,799.46",          0.00,        128.45,         76.07,          0.00
       24941,          104,            0," 6/21/2020",   1,     104,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,008.38",          0.00,        412.41,         73.77,          0.00
       24942,          105,            0," 6/22/2020",   1,     105,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,203.85",          0.00,        864.01,        145.00,          0.00
       24943,          106,            0," 6/22/2020",   1,     106,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,407.93",          0.00,        129.54,         73.86,          0.00
       24944,          107,            0," 6/23/2020",   1,     107,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,708.76",          0.00,        612.20,         57.50,          0.00
       24945,          108,            0," 6/23/2020",   1,     108,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,560.49",          0.00,        336.27,        100.62,          0.00
       24946,          109,            0," 6/24/2020",   1,     109,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,823.95",          0.00,        590.00,        173.92,          0.00
       24947,          110,            0," 6/24/2020",   1,     110,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        918.95,          0.00,        413.68,         37.41,          0.00
       24948,          111,            0," 6/25/2020",   1,     111,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,516.04",          0.00,"      1,132.08",        192.42,          0.00
       24949,          112,            0," 6/25/2020",   1,     112,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,656.84",          0.00,        340.46,         47.11,          0.00
       24950,          113,            0," 6/26/2020",   1,     113,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,346.10",          0.00,        924.71,        278.09,          0.00
       24951,          114,            0," 6/26/2020",   1,     114,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,592.69",          0.00,        253.83,         81.57,          0.00
       24952,          115,            0," 6/27/2020",   1,     115,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,384.13",          0.00,        529.77,        208.73,          0.00
       24953,          116,            0," 6/27/2020",   1,     116,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,733.10",          0.00,        104.04,          8.27,          0.00
       24954,          117,            0," 6/28/2020",   1,     117,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,372.45",          0.00,        480.96,         48.49,          0.00
       24955,          118,            0," 6/28/2020",   1,     118,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,290.44",          0.00,        362.84,         36.32,          0.00
       24956,          119,            0," 6/29/2020",   1,     119,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,474.55",          0.00,        980.58,        214.59,          0.00
       24957,          120,            0," 6/29/2020",   1,     120,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,604.43",          0.00,        468.37,        115.53,          0.00
       24958,          121,            0," 6/30/2020",   1,     121,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,786.59",          0.00,        758.18,        169.33,          0.00
       24959,          122,            0," 6/30/2020",   1,     122,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,814.36",          0.00,        248.10,         84.03,          0.00
       24960,          123,            0," 7/01/2020",   1,     123,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,441.00",          0.00,        648.03,        199.02,          0.00
       24961,          124,            0," 7/01/2020",   1,     124,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,059.78",          0.00,        119.08,         91.50,          0.00
       24962,          125,            0," 7/02/2020",   1,     125,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,931.42",          0.00,        644.13,        116.43,          0.00
       24963,          126,            0," 7/02/2020",   1,     126,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,720.67",          0.00,        201.11,        112.07,          0.00
       24964,          127,            0," 7/03/2020",   1,     127,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,256.60",          0.00,"      1,086.14","      1,033.29",          0.00
       24965,          128,            0," 7/03/2020",   1,     128,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,760.13",          0.00,        402.74,        298.44,          0.00
       24966,          129,            0," 7/04/2020",   1,     129,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,207.72",          0.00,        898.09,        230.45,          0.00
       24967,          130,            0," 7/04/2020",   1,     130,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,772.76",          0.00,        379.06,         74.17,          0.00
       24968,          131,            0," 7/05/2020",   1,     131,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,447.07",          0.00,        403.95,        142.36,          0.00
       24969,          132,            0," 7/05/2020",   1,     132,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,228.06",          0.00,        325.80,         52.00,          0.00
       24970,          133,            0," 7/06/2020",   1,     133,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,536.92",          0.00,        747.86,         88.98,          0.00
       24971,          134,            0," 7/06/2020",   1,     134,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,913.24",          0.00,        682.23,        110.78,          0.00
       24972,          135,            0," 7/07/2020",   1,     135,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,577.87",          0.00,        661.64,         92.03,          0.00
       24973,          136,            0," 7/07/2020",   1,     136,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,004.12",          0.00,        404.05,         19.88,          0.00
       24974,          137,            0," 7/08/2020",   1,     137,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,906.52",          0.00,"      1,641.05",        313.44,          0.00
       24975,          138,            0," 7/08/2020",   1,     138,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,031.95",          0.00,        743.10,        139.31,          0.00
       24976,          139,            0," 7/09/2020",   1,     139,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,778.65",          0.00,        672.78,        260.47,          0.00
       24977,          140,            0," 7/09/2020",   1,     140,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,168.54",          0.00,        278.61,         54.76,          0.00
       24978,          141,            0," 7/10/2020",   1,     141,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,747.85",          0.00,"      1,003.59",         88.72,          0.00
